Registro,IdSub
57600510011,0
57600510011,1
57600510011,2
57600510011,3
57600510011,4
1002001390025,5
1002001390025,6
1002900050014,7
1002900050022,7
1002900050057,7
1002900050065,7
1002900050073,7
1002900050081,7
1002900050111,7
1002900050121,7
1002900070066,8
1002900070074,8
1002900070082,8
1002900120039,9
1002900120160,9
1002900120357,9
1002900120403,9
1002900130018,8
1002900130018,10
1002900130026,8
1002900130026,10
1002900130034,8
1002900130034,10
1002900130042,8
1002900130042,10
1002900140064,11
1002900160081,12
1002900190010,13
1002900260094,14
1002900260094,15
1002900270014,16
1002900280044,13
1002900300010,17
1002900300037,17
1002900300061,17
1002900310490,18
1002900310504,18
1002900310512,18
1002900320089,19
1002900320127,19
1002900350018,20
1002900350026,20
1002900350042,20
1002900350050,20
1002900350107,20
1002900760038,21
1002901310028,10
1002901310028,22
1002901350062,9
1002901350062,21
1002901350070,9
1002901350070,21
1002901350089,9
1002901350089,21
1002901350100,9
1002901350100,21
1002901350119,9
1002901350119,21
1002901350127,9
1002901350127,21
1002901350161,9
1002901350161,21
1002901350240,9
1002901350240,21
1002901350259,9
1002901350259,21
1002901360017,22
1002901370012,23
1002901370012,10
1002901370020,23
1002901370020,10
1002901720031,24
1002901720064,24
1002901720099,24
1002901720102,24
1002901720145,24
1002901720171,24
1002901720201,24
1002901720218,24
1002901770029,24
1002901770029,25
1002901770037,24
1002901770037,25
1002901770045,24
1002901770045,25
1002901770053,24
1002901770053,25
1002901770061,24
1002901770061,25
1002901770142,24
1002901770142,25
1002901770150,24
1002901770150,25
1002901770169,24
1002901770169,25
1002901770177,24
1002901770177,25
1002901770185,24
1002901770185,25
1002901800025,12
1002901800025,26
1002901860011,27
1002901860011,28
1002901860028,27
1002901860028,28
1002901870023,29
1002901870023,30
1002901890024,31
1002901890067,31
1002901900011,32
1002901900038,32
1002901900070,32
1002901910017,29
1002901910041,29
1002901910076,29
1002901910084,29
1002901930018,33
1002901940013,34
1002901940021,34
1002901980015,35
1002901980015,36
1002902000014,37
1002902010011,38
1002902050011,39
1002902060025,20
1002902060033,20
1002902060041,20
1002902060051,20
1002902060068,20
1002902070039,29
1002902070047,29
1002902070071,29
1002902080026,29
1002902080026,30
1002902090013,40
1002902090031,40
1002902090048,40
1002902090056,40
1002902090072,40
1002902090080,40
1002902100019,41
1002902100027,41
1002902110014,42
1002902120011,43
1002902130015,42
1002902130015,44
1002902140029,21
1002902140045,21
1002902140053,21
1002902150083,9
1002902150083,21
1002902150105,9
1002902150105,21
1002902150121,9
1002902150121,21
1002902150164,9
1002902150164,21
1002902160011,45
1002902160021,45
1002902170017,46
1002902170025,46
1002902180012,34
1002902180020,34
1002902190026,34
1002902190026,44
1002902200013,34
1002902200013,44
1002902200021,34
1002902200021,44
1002902210019,34
1002902210019,44
1002902210027,34
1002902210027,44
1002902220014,47
1002902220022,47
1002902230011,34
1002902230011,44
1003300010057,48
1003300010133,48
1003300010141,48
1003300010151,48
1003300010168,48
1003300010176,48
1003300010184,48
1003300270046,49
1003300270046,44
1003300270070,49
1003300270070,44
1003300280033,50
1003300280041,50
1003300280122,50
1003300280130,50
1003300290033,51
1003300290144,51
1003300380024,52
1003300380038,52
1003300420013,53
1003300420021,53
1003300420031,53
1003300420048,53
1003300420056,53
1003300420064,53
1003300420072,53
1003300450052,54
1003300450060,54
1003300520042,55
1003300540027,56
1003300540061,56
1003300580061,57
1003300660014,58
1003300660065,58
1003300660081,58
1003300660103,58
1003300660189,58
1003300660197,58
1003300660200,58
1003300670079,59
1003300840012,49
1003300840012,44
1003300840039,49
1003300840039,44
1003300860080,60
1003300860102,60
1003300860129,60
1003300860153,60
1003300860171,60
1003300860196,60
1003300870019,47
1003300870043,47
1003300900023,61
1003300900031,61
1003300940017,10
1003300940017,60
1003300960204,60
1003300960204,62
1003300960239,60
1003300960239,62
1003300960263,60
1003300960263,62
1003300960271,60
1003300960271,62
1003300980019,34
1003300980019,44
1003300980027,34
1003300980027,44
1003301010021,63
1003301010031,63
1003301010048,63
1003301010056,63
1003301010064,63
1003301010072,63
1003301010080,63
1003301020019,49
1003301020019,44
1003301020051,49
1003301020051,44
1003301030014,45
1003301040011,64
1003301040028,64
1003301060010,65
1003301060010,28
1003301070016,66
1003301070032,66
1003301070067,66
1003301110018,67
1003301110077,67
1003301110085,67
1003301110093,67
1003301110115,67
1003301110123,67
1003301140022,33
1003301140030,33
1003301140049,33
1003301140057,33
1003301140065,33
1003301140103,33
1003301150011,68
1003301150052,68
1003301150060,68
1003301150079,68
1003301150087,68
1003301150095,68
1003301190062,69
1003301190097,69
1003301190127,69
1003301210012,70
1003301210020,70
1003301210039,71
1003301210047,71
1003301210055,71
1003301240019,44
1003301240019,72
1003301240027,44
1003301240027,72
1003301250014,73
1003301260028,74
1003301260044,74
1003301260052,74
1003301260060,74
1003301270015,61
1003301280010,47
1003301280029,47
1003301300011,75
1003301300021,75
1003301310017,76
1003301310017,77
1003301310017,78
1003301310017,74
1003301310076,76
1003301310076,77
1003301310076,78
1003301310076,74
1003301330042,79
1003301330050,79
1003301330069,79
1003301340013,80
1003301340021,80
1003301350043,81
1003301360022,82
1003301360030,82
1003301370028,83
1003301370036,83
1003301370044,83
1003301370052,83
1003301380023,84
1003301380031,84
1003301390029,85
1003301390045,85
1003301400016,86
1003301400024,86
1003301400032,86
1003301410089,87
1003301420017,88
1003301420025,88
1003301440018,44
1003301440018,72
1003301440026,44
1003301440026,72
1003301450021,89
1003301450031,89
1003301450048,89
1003301460019,90
1003301460027,90
1003301490015,91
1003301490023,91
1003301490031,91
1003301490041,91
1003301500029,92
1003301530025,93
1003301540012,44
1003301540012,72
1003301540020,44
1003301540020,72
1003301540039,44
1003301540039,72
1003301540047,44
1003301540047,72
1003301540055,44
1003301540055,72
1003301540063,44
1003301540063,72
1003301550018,94
1003301560013,95
1003301560021,95
1003301560031,95
1003301560056,95
1003301560064,95
1003301560072,95
1003301560080,95
1003301560099,95
1003301560102,95
1003301560110,95
1003301560129,95
1003301560145,95
1003301580022,96
1003301580049,96
1003301580065,96
1003301580073,96
1003301580081,96
1003301590028,97
1003301590036,97
1003301590044,97
1003301590052,97
1003301600015,98
1003301600023,98
1003301600031,99
1003301600041,99
1003301600058,99
1003301600066,99
1003301620016,48
1003301630011,100
1003301630021,100
1003301630038,100
1003301650012,101
1003301650020,101
1003301650039,101
1003301650047,101
1003301650055,101
1003301650063,101
1003301650071,101
