CNPJ,NomeLab
33.379.884/0001-96,LABORATORIO SIMOES LTDA.
56.990.534/0001-67,SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA
45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.
61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA
46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA LTDA
49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA
61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.
61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA
91.671.792/0001-81,LABORATÓRIO SAÚDE LTDA
61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA
33.258.401/0001-03,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA
84.684.620/0001-87,LABORATORIO CATARINENSE LTDA
56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A
61.100.004/0001-36,ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.
31.673.254/0001-02,LABORATÓRIOS B. BRAUN S/A
33.069.212/0001-84,MERCK S/A
92.928.951/0001-43,LABORATORIO INDUSTRIAL FARMACÊUTICO LIFAR LTDA
33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.
33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA
62.462.015/0001-29,APSEN FARMACEUTICA S/A
21.561.931/0003-09,LABORATÓRIO SANOBIOL LTDA
33.026.055/0001-20,MEGALABS FARMACEUTICA S.A.
61.150.447/0001-31,LABORATÓRIOS BALDACCI LTDA
43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA
62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA
60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA
33.051.491/0001-59,LABORATÓRIOS PIERRE FABRE DO BRASIL LTDA
03.560.974/0001-18,MERCK SHARP & DOHME FARMACEUTICA LTDA.
44.211.936/0001-37,AVERT LABORATÓRIOS LTDA
45.569.555/0007-82,CATALENT BRASIL LTDA.
33.112.665/0001-46,DFL INDÚSTRIA E COMÉRCIO S/A
56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
10.877.926/0001-13,LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL ARRAES S/A - LAFEPE
04.099.395/0001-82,SANTISA LABORATÓRIO FARMACÊUTICO S/A
61.517.397/0001-88,THERASKIN FARMACEUTICA LTDA.
33.036.815/0001-80,QUIMICA HALLER LTDA
46.070.868/0036-99,LABORATÓRIOS PFIZER LTDA
57.507.378/0003-65,EMS S/A
18.774.815/0001-93,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
60.862.208/0001-41,FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA
44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
92.690.999/0001-66,LABORATÓRIO WESP LTDA
01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA
61.455.192/0001-15,TRB PHARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA LTDA
33.474.289/0001-30,FARMABRAZ BETA ATALAIA FARMACEUTICA LTDA
47.231.121/0001-08,BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA
60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.
17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A
43.312.503/0001-05,SUPERA FARMA LABORATÓRIOS S.A
83.874.628/0001-43,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA
17.174.657/0001-78,HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA
33.349.473/0001-58,FARMOQUÍMICA S/A
30.222.814/0001-31,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
30.064.034/0001-00,INSTITUTO VITAL BRAZIL S/A
68.567.650/0001-57,SS WHITE ARTIGOS DENTARIOS LTDA
42.457.796/0001-56,DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA
33.173.097/0002-74,CELLERA FARMACÊUTICA S.A.
92.670.801/0001-82,GEYER MEDICAMENTOS S/A
33.145.194/0001-72,LABORATÓRIO GROSS S. A.
60.874.187/0001-84,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA
29.785.870/0001-03,LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA
92.762.277/0001-70,VIDORA FARMACÊUTICA LTDA
04.522.600/0001-70,LUNDBECK BRASIL LTDA
92.691.187/0001-35,LABORATÓRIO REGIUS LTDA.
48.113.906/0001-49,1FARMA INDUSTRIA FARMACEUTICA LTDA
55.972.087/0001-50,JP INDUSTRIA FARMACEUTICA S/A
33.150.764/0001-12,BIOLAB FARMA GENERICOS LTDA
60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A
19.791.813/0001-75,LABORATÓRIOS OSÓRIO DE MORAES LTDA
33.078.528/0001-32,TORRENT DO BRASIL LTDA
17.115.437/0001-73,LABORATÓRIO GLOBO SA
48.396.378/0001-82,UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA
56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA
28.634.665/0001-76,HEARST LABORATÓRIOS DO BRASIL LTDA
18.324.343/0001-77,BELFAR LTDA
60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
61.186.136/0001-22,VALEANT FARMACÊUTICA DO BRASIL LTDA
47.100.862/0001-50,LABORATIL FARMACEUTICA LTDA
45.992.062/0001-65,GERMED FARMACEUTICA LTDA
60.397.775/0001-74,TAKEDA PHARMA LTDA.
61.282.661/0001-41,LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA
12.424.020/0001-79,NOVAMED FABRICAÇÃO DE PRODUTOS FARMACEUTICOS LTDA
63.064.653/0001-54,LABORATÓRIOS STIEFEL LTDA
49.351.786/0002-61,BAXTER HOSPITALAR LTDA
92.695.691/0001-03,KLEY HERTZ FARMACEUTICA S.A
84.683.382/0001-95,MINÂNCORA & CIA LTDA
61.068.755/0001-12,SANVAL COMÉRCIO E INDÚSTRIA LTDA
44.010.437/0001-81,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA
88.610.555/0001-04,INDUSTRIA FARMACEUTICA BASA LTDA
33.109.356/0001-17,"CASA GRANADO LABORATÓRIOS, FARMÁCIAS E DROGARIAS S/A"
68.240.779/0001-56,JARRELL FARMACÊUTICA LTDA EPP
33.348.731/0001-81,BIOTEST FARMACÊUTICA LTDA
17.875.154/0001-20,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.
15.670.288/0001-89,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA
06.597.801/0001-62,THEODORO F SOBRAL & CIA LTDA
09.117.476/0001-81,MANDALA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE PRODUTO MÉDICO HOSPITALAR LTDA
49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA
45.841.137/0001-07,DLA PHARMACEUTICAL LTDA
44.363.661/0001-57,GLENMARK FARMACÊUTICA LTDA
30.332.829/0001-52,HEMAFARMA COM. E IND. FARM. LTDA
49.383.250/0001-47,HISAMITSU FARMACÊUTICA DO BRASIL LTDA
33.781.055/0001-35,FUNDAÇÃO OSWALDO CRUZ
06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA
24.365.710/0001-83,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE
00.394.452/0001-03,COMANDO DO EXÉRCITO
17.503.475/0001-01,FUNDAÇÃO EZEQUIEL DIAS - FUNED
53.162.095/0001-06,BIOSINTÉTICA FARMACÊUTICA LTDA
00.394.429/0099-14,LABORATORIO QUIMICO FARMACEUTICO DA AERONAUTICA
51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA
43.940.618/0001-44,ELI LILLY DO BRASIL LTDA
