Registro,Nome,Apresentacao,TipoDeProduto,RegimeDePreco,RestricaoHospitalar,Comercializacao2022,IdPF,IdPMC,IdFI,IdTarja
57600510011,TALCO ALÍVIO,TALQUEIRA C/ 100 G,Similar,Regulado,Não,Não,0,0,D10A,0
1058306780043,DERMAZELAIC,150 MG/G GEL CT BG AL X 30G,Similar,Liberado,Não,Não,3077,2542,D10A,0
1017400460017,ACNASE GEL,50 MG/G GEL CT BG AL X 20 G,Similar,Liberado,Não,Sim,3193,2642,D10A,0
1067500440065,SOLUGEL,80 MG/G GEL CT BG PLAS LAM X 15 G,Novo,Liberado,Não,Não,8908,7440,D10A,0
1291600070028,ROZEX,"7,5 MG/G GEL CT BG AL X 30 G",Novo,Liberado,Não,Sim,12541,10242,D10A,0
1677306770018,SUAVICID ONE,"0,25 MG/G CREM DERM CT BG AL X 30 G",Similar,Regulado,Não,Não,1524,1183,D10A,1
1023512750021,TRETINOÍNA,"0,5 MG/G CREM DERM CT BG AL X 30 G",Genérico,Regulado,Não,Não,2225,1771,D10A,1
1058309620012,VITPEEL,"0,25 MG/G CREM DERM CT BG AL X 30 G",Similar,Regulado,Não,Não,2314,1861,D10A,1
1010703400013,VITANOL-A,"0,25 MG/G CREM DERM CT BG AL X 30 G",Similar,Regulado,Não,Sim,2615,2134,D10A,1
1010703400021,VITANOL-A,"0,5 MG/G CREM DERM CT BG AL X 30 G",Similar,Regulado,Não,Sim,2616,2135,D10A,1
1058309620020,VITPEEL,"0,5 MG/G CREM DERM CT BG AL X 30 G",Similar,Regulado,Não,Não,2616,2135,D10A,1
1677306770026,SUAVICID ONE,"0,5 MG/G CREM DERM CT BG AL X 30 G",Similar,Regulado,Não,Não,2616,2135,D10A,1
1010703400031,VITANOL-A,1 MG/G CREM DERM CT BG AL X 30 G,Similar,Regulado,Não,Sim,2617,2136,D10A,1
1058309620039,VITPEEL,1 MG/G CREM DERM CT BG AL X 30 G,Similar,Regulado,Não,Não,2617,2136,D10A,1
1677306770034,SUAVICID ONE,1 MG/G CREM DERM CT BG AL X 30 G,Similar,Regulado,Não,Não,2617,2136,D10A,1
1023512750011,TRETINOÍNA,"0,25 MG/G CREM DERM CT BG AL X 30 G",Genérico,Regulado,Não,Não,4115,3529,D10A,1
1023512750038,TRETINOÍNA,1 MG/G CREM DERM CT BG AL X 30 G,Genérico,Regulado,Não,Não,4116,3530,D10A,1
1039001280040,BELPELE,3 MG/G GEL CT BG AL X 30 G ,Similar,Regulado,Não,Sim,5956,4716,D10A,1
