IdPF,ValorGenericoPF,ValorMGPF
0,"6,53","7,08"
1,"138,97","150,7"
2,"56,28","60,4"
3,"37,84","40,61"
4,"177,2","190,17"
5,"58,99","63,3"
6,"59,85","64,23"
7,"40,59","43,56"
8,"28,98","31,1"
9,"90,58","97,21"
10,"41,07","44,07"
11,"72,1","77,38"
12,"23,38","25,09"
13,"46,75","50,17"
14,"38,55","41,37"
15,"77,1","82,74"
16,"22,7","24,37"
17,"170,22","182,67"
18,"153,8","166,78"
19,"4131,21","4433,49"
20,"76,41",82
21,"231,07","247,98"
22,"74,07","79,49"
23,"110,15","118,21"
24,"1101,35","1181,94"
25,"24,58","26,38"
26,"15,82","16,98"
27,"48,27","51,8"
28,"48,75","52,32"
29,"14,14","15,17"
30,"45,51","48,84"
31,"89,58","96,13"
32,"50,75","54,46"
33,"99,84","107,15"
34,"14,48","15,54"
35,"139,14","149,32"
36,"66,42","71,28"
37,"123,08","132,09"
38,"57,44","61,65"
39,"114,9","123,3"
40,"215,59","231,37"
41,"100,59","107,95"
42,"201,26","215,99"
43,"205,26","220,28"
44,"95,32","102,29"
45,"11,35","12,18"
46,"18,97","20,35"
47,"51,33","55,09"
48,"102,61","110,12"
49,"202,28","217,09"
50,"101,13","108,52"
51,"71,58","76,82"
52,"66,81","71,7"
53,"214,75","230,46"
54,"200,44","215,11"
55,"137,02","147,05"
56,"37,93","41,13"
57,"132,75","143,96"
58,"40,99","44,45"
59,"15,42","16,55"
60,"20,78","22,3"
61,"9,87","10,7"
62,"17,77","19,27"
63,"12,38","13,42"
64,"51,47","55,81"
65,"41,19","44,66"
66,"58,93","63,91"
67,"79,92","86,67"
68,"75,36","80,88"
69,"31,72","34,04"
70,"81,91","87,9"
71,"62567,07","67847,26"
72,"3592,67","3895,86"
73,"5636,17","6111,82"
74,"858,72","921,55"
75,"40,5","43,46"
76,"80,78","86,7"
77,"12,99","13,94"
78,"45,47","48,79"
79,"90,03","96,62"
80,"40,8","44,25"
81,"114,89","124,58"
82,"55,6","60,29"
83,"40,98","44,44"
84,"24,07","25,83"
85,"72,49","77,79"
86,"28,08","30,13"
87,"84,15","90,3"
88,"27,1","29,09"
89,"81,23","87,17"
90,"1348,44","1447,11"
91,"1842,72","1977,55"
92,"708,49","760,33"
93,"302,16","324,27"
94,"72,17","77,45"
95,"46,3","49,68"
96,"139,05","149,22"
97,"278,09","298,44"
98,"202,14","216,93"
99,"56,4","60,52"
100,"30,86","33,12"
101,"49,57","53,2"
102,"29,51","31,67"
103,"88,53","95,01"
104,"36,42","39,09"
105,"115,63","124,09"
106,"38,07","40,85"
107,"108,11","116,02"
108,"74,85","80,33"
109,"213,86","229,51"
110,"30,83","33,09"
111,"27,61","29,63"
112,"19,28","20,7"
113,"38,63","41,45"
114,"38,57","41,39"
115,"77,25","82,9"
116,"57,85","62,09"
117,"115,86","124,34"
118,"40,77","43,76"
119,"108,67","116,62"
120,"32,61","35,36"
121,"373,69","405,23"
122,"47,49","51,5"
123,"31,26","33,9"
124,"49,9","53,55"
125,"25,25","27,1"
126,"51,69","55,48"
127,"910,7","977,34"
128,"24,34","26,12"
129,"43,66","46,85"
130,"73,02","78,37"
131,"109,55","117,56"
132,131,"140,59"
133,"196,5","210,88"
134,"9,74","10,45"
135,"50,93","54,66"
136,"96,38","103,43"
137,"31,75","34,07"
138,"84,08","90,23"
139,56,"60,1"
140,"132,76","142,48"
141,"47,28","50,74"
142,"29,09","31,22"
143,"54,89","58,9"
144,"71,47","76,7"
145,"50,77","54,49"
146,"30,17","32,38"
147,"80,43","86,32"
148,"52,32","56,15"
149,"156,98","168,46"
150,"65,82","70,63"
151,"197,44","211,89"
152,"145,94","156,62"
153,"132,53","142,23"
154,"46,13","49,5"
155,"47,2","50,66"
156,"27,41","29,41"
157,"73,13","78,48"
158,"23,1","24,79"
159,"27,76","29,79"
160,"22,8","24,46"
161,"45,58","48,91"
162,"55,73","59,8"
163,"73,94","79,35"
164,"158,72","170,33"
165,"27,42","29,43"
166,"73,17","78,52"
167,"44,78","48,06"
168,"31,66","33,98"
169,"49,91","53,56"
170,"58,44","62,72"
171,"27,68","29,71"
172,"59,41","63,76"
173,"113,93","122,27"
174,"109,85","117,89"
175,"41,3","44,32"
176,"123,91","132,98"
177,"247,82","265,95"
178,"313,93","336,9"
179,"627,88","673,82"
180,"50,03","53,7"
181,"24,99","26,82"
182,"350,18","375,8"
183,"949,38","1018,84"
184,"2988,39","3207,05"
185,"4372,42","4692,35"
186,"949,39","1018,85"
187,"51,25",55
188,"59,86","64,24"
189,"68,47","73,48"
190,"1466,44","1573,74"
191,"5272,72","5658,52"
192,"1392,31","1494,18"
193,"5569,29","5976,79"
194,"8353,92","8965,18"
195,"57,02","61,2"
196,"151,81","162,91"
197,"23,7","25,44"
198,"24,71","26,79"
