IdPMC,ValorGenericoPMC,ValorMGPMC
0,"8,72","9,43"
1,"185,63","200,78"
2,"77,8","83,5"
3,"52,31","56,14"
4,"244,97","262,9"
5,"81,55","87,51"
6,"82,74","88,79"
7,"56,11","60,22"
8,"40,06","42,99"
9,"125,22","134,39"
10,"56,78","60,92"
11,"99,67","106,97"
12,"32,32","34,69"
13,"64,63","69,36"
14,"53,29","57,19"
15,"106,59","114,38"
16,"31,38","33,69"
17,"235,32","252,53"
18,"205,44","222,2"
19,"5711,16","6129,04"
20,"105,63","113,36"
21,"319,44","342,82"
22,"102,4","109,89"
23,"152,28","163,42"
24,"1522,55","1633,96"
25,"33,98","36,47"
26,"21,87","23,47"
27,"66,73","71,61"
28,"67,39","72,33"
29,"19,55","20,97"
30,"62,91","67,52"
31,"123,84","132,89"
32,"70,16","75,29"
33,"138,02","148,13"
34,"20,02","21,48"
35,"192,35","206,43"
36,"91,82","98,54"
37,"170,15","182,61"
38,"79,41","85,23"
39,"158,84","170,46"
40,"298,04","319,86"
41,"139,06","149,23"
42,"278,23","298,59"
43,"283,76","304,52"
44,"131,77","141,41"
45,"15,69","16,84"
46,"26,22","28,13"
47,"70,96","76,16"
48,"141,85","152,23"
49,"279,64","300,11"
50,"139,81","150,02"
51,"98,96","106,2"
52,"92,36","99,12"
53,"296,88","318,6"
54,"277,1","297,38"
55,"189,42","203,29"
56,"50,67","54,8"
57,"177,33","191,8"
58,"54,75","59,22"
59,"21,32","22,88"
60,"28,73","30,83"
61,"13,18","14,26"
62,"23,74","25,67"
63,"16,54","17,88"
64,"68,75","74,36"
65,"55,02","59,5"
66,"78,72","85,15"
67,"106,76","115,47"
68,"104,18","111,81"
69,"43,85","47,06"
70,"113,24","121,52"
71,"83576,09","90393,47"
72,NULL,NULL
73,"7528,71","8142,83"
74,"1187,13","1273,99"
75,"55,99","60,08"
76,"111,67","119,86"
77,"17,96","19,27"
78,"62,86","67,45"
79,"124,46","133,57"
80,"54,5","58,95"
81,"153,47","165,98"
82,"74,27","80,32"
