,SUBSTÂNCIA
0,SALICILATO DE FENILA;ÁCIDO SALICÍLICO;ÓXIDO DE ZINCO;ENXOFRE;MENTOL
1,DIENOGESTE;VALERATO DE ESTRADIOL
2,MONTELUCASTE
3,LOSARTANA POTÁSSICA
4,SINVASTATINA
5,LOSARTANA POTÁSSICA;HIDROCLOROTIAZIDA
6,BENZOATO DE RIZATRIPTANA
7,ALENDRONATO DE SÓDIO TRI-HIDRATADO
8,FINASTERIDA
9,CILASTATINA SÓDICA;IMIPENÉM MONOIDRATADO
10,CLORIDRATO DE DORZOLAMIDA
11,VÍRUS DA HEPATITE A PURIFICADO INATIVADO
12,MALEATO DE ENALAPRIL
13,MALEATO ÁCIDO DE TIMOLOL
14,ETORICOXIBE
15,EZETIMIBA
16,HIDROCLOROTIAZIDA;LISINOPRIL
17,SINVASTATINA;EZETIMIBA
18,LISINOPRIL
19,CLORIDRATO DE AMILORIDA;HIDROCLOROTIAZIDA
20,FOSFATO DE SITAGLIPTINA MONOIDRATADO
21,FOSFATO DE SITAGLIPTINA MONOIDRATADO;CLORIDRATO DE METFORMINA
22,ALENDRONATO DE SÓDIO TRI-HIDRATADO;COLECALCIFEROL
23,ACETATO DE NOMEGESTROL;ESTRADIOL HEMI-HIDRATADO
24,DESLORATADINA;SULFATO DE PSEUDOEFEDRINA
25,PREDNISONA
26,CLORIDRATO DE OXIMETAZOLINA
27,DESLORATADINA
28,FUROATO DE MOMETASONA
29,DESOGESTREL
30,ELBASVIR;GRAZOPREVIR MONOIDRATADO
31,TAZOBACTAM SÓDICO
32,FOSFATO DE TEDIZOLIDA
33,BETAFOLITROPINA
34,MONTELUCASTE DE SÓDIO
35,ALFACORIFOLITROPINA
36,ETONOGESTREL
37,ACETATO DE GANIRRELIX
38,ETONOGESTREL;ETINILESTRADIOL
39,ESTRADIOL
40,FUROATO DE MOMETASONA MONOIDRATADO
41,DESOGESTREL;ETINILESTRADIOL
42,TIBOLONA
43,CLORIDRATO DE AMIODARONA
44,GESTODENO;ETINILESTRADIOL
45,BROMOPRIDA
46,SUMATRIPTANA
47,ADENOSINA
48,CLORIDRATO DE BUSPIRONA
49,NITRENDIPINO
50,FLUCONAZOL
51,FLUOXETINA
52,CLORIDRATO DE TRAMADOL
53,CARVEDILOL
54,AZITROMICINA
55,RAMIPRIL
56,CLORIDRATO DE PAROXETINA
57,HIDROCLOROTIAZIDA;RAMIPRIL
58,RAMIPRIL;BESILATO DE ANLODIPINO
59,CILOSTAZOL
60,PROPIONATO DE FLUTICASONA
61,ACETATO DE NORETISTERONA;ESTRADIOL HEMI-HIDRATADO
62,CITALOPRAM
63,CLORIDRATO DE BUPROPIONA
64,PACLITAXEL
65,ÁCIDO NICOTÍNICO
66,DOCETAXOL
67,DOCETAXEL TRIIDRATADO
68,ETINILESTRADIOL;DROSPIRENONA
69,LEVONORGESTREL
70,CLORETO DE SÓDIO
71,SULFATO DE VIMBLASTINA
72,MACROGOL;BICARBONATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO
73,CARBOPLATINA
74,CLORIDRATO DE DOXORRUBICINA
75,SULFATO DE VINCRISTINA
76,DACARBAZINA
77,METOTREXATO
78,CITARABINA
79,FLUORURACILA
80,CISPLATINA
81,PAMIDRONATO DISSÓDICO
82,FOLINATO DE CÁLCIO
83,MODAFINILA
84,CLORIDRATO DE GENCITABINA
85,OXALIPLATINA
86,FOSFATO DE FLUDARABINA
87,ANASTROZOL
88,ALFAESTRADIOL
89,OXALATO DE ESCITALOPRAM
90,TOPIRAMATO
91,CLORIDRATO DE MEMANTINA
92,TACROLIMO
93,TACROLIMO MONOIDRATADO
94,SUCCINATO DE SUMATRIPTANA
95,CLORIDRATO DE PIOGLITAZONA
96,PEMETREXEDE DISSÓDICO
97,CLORIDRATO DE DULOXETINA
98,ROSUVASTATINA CÁLCICA
99,SUCCINATO DE SUMATRIPTANA;NAPROXENO SÓDICO
100,HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA
101,BROMIDRATO DE GALANTAMINA
102,CLORIDRATO DE PROPAFENONA
103,CANDESARTANA CILEXETILA
104,EVEROLIMO
105,TRASTUZUMABE
106,FULVESTRANTO
107,BORTEZOMIBE
108,ACETATO DE ABIRATERONA
109,PITAVASTATINA CÁLCICA
110,SUCCINATO DE METOPROLOL
111,ROSUVASTATINA CÁLCICA;EZETIMIBA
112,DROSPIRENONA;ESTRADIOL HEMI-HIDRATADO
113,LINAGLIPTINA
114,BROMIDRATO DE VORTIOXETINA
115,LACOSAMIDA
116,CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;MONOFOSFATO DE RIBOFLAVINA SÓDICA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO
117,CLORIDRATO DE CIPROEPTADINA;CLORIDRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;NIACINAMIDA
118,PARACETAMOL
119,CETOCONAZOL
120,ÁCIDO ACETILSALICÍLICO
121,CLORIDRATO DE AMBROXOL
122,MALEATO DE CLORFENIRAMINA;PARACETAMOL;CLORIDRATO DE FENILEFRINA
123,CLORIDRATO DE FENILEFRINA
124,CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO
125,SECNIDAZOL
126,CAPTOPRIL
127,CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA
128,BENZBROMARONA
129,HEDERA HELIX (HERA)
130,HEDERA HELIX L.
131,COLECALCIFEROL
132,GINKGO BILOBA L.
133,GLICOSE;CLORETO DE SÓDIO
134,CLORETO DE CÁLCIO;GELATINA;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO
135,FRUTOSE
136,GLICEROL;ÓLEO DE SOJA;LECITINA DE OVO
137,MANITOL;SORBITOL
138,HIDROXIETILAMIDO
139,ÁGUA PARA INJETÁVEIS
140,ÁGUA PARA INJEÇÃO
141,CLORETO DE CÁLCIO DIIDRATADO;LACTATO DE SÓDIO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO
142,GLICOSE
143,ÓLEO DE PEIXE;TRIGLICERÍDEOS CADEIA MÉDIA;ÓLEO DE OLIVA;ÓLEO DE SOJA
144,CLORETO DE CÁLCIO DIIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO
145,CLORETO DE CÁLCIO 2H2O
146,MANITOL
147,METRONIDAZOL
148,BICARBONATO DE SÓDIO
149,FENILALANINA;PROLINA;TRIPTOFANO;LEVOVALINA;SERINA;HISTIDINA;TREONINA;TIROSINA;LEUCINA;GLICINA;ISOLEUCINA;ACETILCISTEÍNA;LEVOMETIONINA;ALANINA;ACETATO DE LISINA;ARGININA
