IdSub,NomeSub
0,SALICILATO DE FENILA
0,ÁCIDO SALICÍLICO
0,ÓXIDO DE ZINCO
0,ENXOFRE
0,MENTOL
1,DIENOGESTE
1,VALERATO DE ESTRADIOL
2,MONTELUCASTE
3,LOSARTANA POTÁSSICA
4,SINVASTATINA
5,LOSARTANA POTÁSSICA
5,HIDROCLOROTIAZIDA
6,BENZOATO DE RIZATRIPTANA
7,ALENDRONATO DE SÓDIO TRI-HIDRATADO
8,FINASTERIDA
9,CILASTATINA SÓDICA
9,IMIPENÉM MONOIDRATADO
10,CLORIDRATO DE DORZOLAMIDA
11,VÍRUS DA HEPATITE A PURIFICADO INATIVADO
12,MALEATO DE ENALAPRIL
13,MALEATO ÁCIDO DE TIMOLOL
14,ETORICOXIBE
15,EZETIMIBA
16,HIDROCLOROTIAZIDA
16,LISINOPRIL
17,SINVASTATINA
17,EZETIMIBA
18,LISINOPRIL
19,CLORIDRATO DE AMILORIDA
19,HIDROCLOROTIAZIDA
20,FOSFATO DE SITAGLIPTINA MONOIDRATADO
21,FOSFATO DE SITAGLIPTINA MONOIDRATADO
21,CLORIDRATO DE METFORMINA
22,ALENDRONATO DE SÓDIO TRI-HIDRATADO
22,COLECALCIFEROL
23,ACETATO DE NOMEGESTROL
23,ESTRADIOL HEMI-HIDRATADO
24,DESLORATADINA
24,SULFATO DE PSEUDOEFEDRINA
25,PREDNISONA
26,CLORIDRATO DE OXIMETAZOLINA
27,DESLORATADINA
28,FUROATO DE MOMETASONA
29,DESOGESTREL
30,ELBASVIR
30,GRAZOPREVIR MONOIDRATADO
31,TAZOBACTAM SÓDICO
32,FOSFATO DE TEDIZOLIDA
33,BETAFOLITROPINA
34,MONTELUCASTE DE SÓDIO
35,ALFACORIFOLITROPINA
36,ETONOGESTREL
37,ACETATO DE GANIRRELIX
38,ETONOGESTREL
38,ETINILESTRADIOL
39,ESTRADIOL
40,FUROATO DE MOMETASONA MONOIDRATADO
41,DESOGESTREL
41,ETINILESTRADIOL
42,TIBOLONA
43,CLORIDRATO DE AMIODARONA
44,GESTODENO
44,ETINILESTRADIOL
45,BROMOPRIDA
46,SUMATRIPTANA
47,ADENOSINA
48,CLORIDRATO DE BUSPIRONA
49,NITRENDIPINO
50,FLUCONAZOL
51,FLUOXETINA
52,CLORIDRATO DE TRAMADOL
53,CARVEDILOL
54,AZITROMICINA
55,RAMIPRIL
56,CLORIDRATO DE PAROXETINA
57,HIDROCLOROTIAZIDA
57,RAMIPRIL
58,RAMIPRIL
58,BESILATO DE ANLODIPINO
59,CILOSTAZOL
60,PROPIONATO DE FLUTICASONA
61,ACETATO DE NORETISTERONA
61,ESTRADIOL HEMI-HIDRATADO
62,CITALOPRAM
63,CLORIDRATO DE BUPROPIONA
64,PACLITAXEL
65,ÁCIDO NICOTÍNICO
66,DOCETAXOL
67,DOCETAXEL TRIIDRATADO
68,ETINILESTRADIOL
68,DROSPIRENONA
69,LEVONORGESTREL
70,CLORETO DE SÓDIO
71,SULFATO DE VIMBLASTINA
72,MACROGOL
72,BICARBONATO DE SÓDIO
72,CLORETO DE POTÁSSIO
72,CLORETO DE SÓDIO
73,CARBOPLATINA
74,CLORIDRATO DE DOXORRUBICINA
75,SULFATO DE VINCRISTINA
76,DACARBAZINA
77,METOTREXATO
78,CITARABINA
79,FLUORURACILA
80,CISPLATINA
81,PAMIDRONATO DISSÓDICO
82,FOLINATO DE CÁLCIO
83,MODAFINILA
84,CLORIDRATO DE GENCITABINA
85,OXALIPLATINA
86,FOSFATO DE FLUDARABINA
87,ANASTROZOL
88,ALFAESTRADIOL
89,OXALATO DE ESCITALOPRAM
90,TOPIRAMATO
91,CLORIDRATO DE MEMANTINA
92,TACROLIMO
93,TACROLIMO MONOIDRATADO
94,SUCCINATO DE SUMATRIPTANA
95,CLORIDRATO DE PIOGLITAZONA
96,PEMETREXEDE DISSÓDICO
97,CLORIDRATO DE DULOXETINA
98,ROSUVASTATINA CÁLCICA
99,SUCCINATO DE SUMATRIPTANA
99,NAPROXENO SÓDICO
100,HIDROCLOROTIAZIDA
100,CANDESARTANA CILEXETILA
101,BROMIDRATO DE GALANTAMINA
102,CLORIDRATO DE PROPAFENONA
103,CANDESARTANA CILEXETILA
104,EVEROLIMO
105,TRASTUZUMABE
106,FULVESTRANTO
107,BORTEZOMIBE
108,ACETATO DE ABIRATERONA
109,PITAVASTATINA CÁLCICA
110,SUCCINATO DE METOPROLOL
111,ROSUVASTATINA CÁLCICA
111,EZETIMIBA
112,DROSPIRENONA
112,ESTRADIOL HEMI-HIDRATADO
113,LINAGLIPTINA
114,BROMIDRATO DE VORTIOXETINA
115,LACOSAMIDA
116,CLORIDRATO DE CIPROEPTADINA
116,NICOTINAMIDA
116,CLORIDRATO DE TIAMINA
116,MONOFOSFATO DE RIBOFLAVINA SÓDICA
116,CLORIDRATO DE PIRIDOXINA
116,ÁCIDO ASCÓRBICO
